index,time_seconds
0,2.292971
1,2.914104
2,4.237642
3,4.684626
4,4.934240
5,5.677279
6,6.199728
7,7.511655
8,7.918005
9,10.176145
10,11.290703
11,11.656417
12,13.850703
13,15.330975
14,17.983855
15,18.587574
16,19.336417
17,19.864671
18,20.108481
19,20.265215
20,21.687438
21,23.486984
22,25.501315
23,26.192109
24,26.418503
25,26.720363
26,26.836463
27,26.975782
28,27.115102
29,28.357370
30,29.146848
31,29.814422
32,30.586485
33,30.899955
34,31.271474
35,31.927438
36,32.246712
37,32.426667
38,32.548571
39,33.268390
40,34.046259
41,34.580317
42,35.201451
43,35.329161
44,36.263764
45,36.420499
46,36.606259
47,37.813696
48,39.334603
49,39.613243
50,40.286621
51,40.571066
52,40.745215
53,41.459229
54,42.184853
55,43.322630
56,43.560635
57,44.791293
58,45.586576
59,45.789751
60,46.114830
61,46.335420
62,47.182948
63,47.519637
64,48.227846
65,48.541315
66,48.790930
67,49.719728
68,50.271202
69,53.115646
70,54.479819
71,55.112562
72,55.414422
73,55.710476
74,56.041361
75,56.465125
76,56.610249
77,57.411338
78,58.189206
79,59.884263
80,60.087438
81,60.296417
82,61.498050
83,62.194649
84,62.630023
85,62.931882
86,63.518186
87,63.692336
88,64.034830
89,64.441179
90,65.068118
91,65.491882
92,67.430748
93,68.173787
94,68.464036
95,68.736871
96,69.003900
97,70.635102
98,71.151746
99,71.726440
100,73.212517
101,73.427302
102,73.723356
103,73.909116
104,75.476463
105,76.509751
106,77.479184
107,78.547302
108,79.255510
109,80.282993
110,81.687800
111,82.802358
112,83.295782
113,85.658413
114,85.791927
115,86.505941
116,87.016780
117,89.901859
118,90.325624
119,91.991655
120,92.606984
121,92.995918
122,93.222313
123,93.408073
124,94.505215
125,96.467302
126,96.641451
127,96.798186
128,97.239365
129,98.162358
130,98.737052
131,98.864762
132,99.555556
133,99.863220
134,100.124444
135,100.298594
136,100.757188
137,102.939864
138,105.000635
139,106.266122
140,107.038186
141,107.618685
142,108.866757
143,109.534331
144,110.405079
145,110.660499
146,111.188753
147,111.751837
148,111.925986
149,112.477460
150,112.640000
151,115.043265
152,115.443810
153,117.492971
154,120.018141
155,120.825034
156,121.521633
157,122.015057
158,122.717460
159,124.737596
160,125.678005
161,126.090159
162,127.082812
163,128.330884
164,128.946213
165,129.863401
166,131.285624
167,132.475646
168,133.073560
169,136.068934
170,136.579773
171,136.875828
172,138.147120
173,139.371973
174,140.097596
175,140.277551
176,140.788390
177,142.849161
178,143.092971
179,144.451338
180,144.933152
181,147.742766
182,148.572880
183,149.014059
184,149.722268
185,150.616236
186,150.906485
187,151.051610
188,152.392562
189,152.694422
190,153.814785
191,157.541587
192,157.942132
193,158.789660
194,161.668934
195,162.139138
196,163.718095
197,164.205714
198,164.815238
199,165.093878
200,165.773061
201,166.963084
202,167.421678
203,169.894603
204,170.242902
205,170.637642
206,171.218141
207,172.617143
208,173.215057
209,175.299048
210,175.467392
211,176.001451
212,177.139229
213,177.278549
214,177.969342
215,178.102857
216,180.256508
217,180.929887
218,181.376871
219,182.729433
220,183.565351
221,183.751111
222,184.087800
223,185.086259
224,185.736417
225,186.926440
226,189.283265
227,190.949297
228,191.216327
229,191.361451
230,191.808435
231,192.510839
232,193.857596
233,194.118821
234,194.548390
235,196.678821
236,197.369615
